1,une architecture,архитектура
1,une base de données,база данных
1,un calcul intensif,интенсивные вычисления
1,une conception graphique,графический дизайн
1,une disponibilité,доступность
1,une fiabilité,надежность
1,une gestion de bases de données,управление базами данных
1,un jeu vidéo,видеоигра
1,une machine électronique,электронная машина
1,un mainframe,мейнфрейм
1,une navigation sur Internet,навигация в интернете
1,un ordinateur,компьютер
1,un ordinateur de bureau,настольный компьютер
1,un ordinateur portable,ноутбук
1,un portable,портативный компьютер
1,une performance,производительность
1,un processeur,процессор
1,une programmation,программирование
1,une puissance,мощность
1,un réseau,сеть
1,un serveur,сервер
1,un smartphone,смартфон
1,un superordinateur,суперкомпьютер
1,une tablette,планшет
1,une taille,размер
1,une tâche spécifique,конкретная задача
1,un traitement de texte,текстовый процессор
1,une visualisation de contenu multimédia,воспроизведение мультимедийного контента
1,accéder à Internet,подключаться к интернету
1,accélérer le traitement,ускорять обработку
1,allumer / éteindre l'écran, l'unité centrale,включать / выключать экран, системный блок
1,améliorer les performances,улучшать производительность
1,brancher / débrancher un appareil,подключать / отключать устройство
1,cliquer (sur un élément),нажимать (на элемент)
1,connecter / déconnecter un périphérique,подключать / отключать периферийное устройство
1,déplacer le pointeur / le curseur,перемещать указатель / курсор
1,effectuer des opérations / des calculs,выполнять операции / вычисления
1,être équipé de,быть оснащенным
1,gérer une base de données,управлять базой данных
1,installer un programme,устанавливать программу
1,lire un fichier,читать файл
1,mettre en route l'ordinateur,запускать компьютер
1,naviguer sur Internet,серфить в интернете
1,ouvrir / fermer une session, un programme,открывать / закрывать сессию, программу
1,se déplacer souvent,часто перемещаться
1,traiter / stocker des données,обрабатывать / хранить данные
1,travailler simultanément,работать одновременно
1,utiliser sans clavier,использовать без клавиатуры
2,un boîtier,корпус
2,un câble,кабель
2,une caméra / une webcam,камера / веб-камера
2,un casque,наушники
2,un clavier,клавиатура
2,une connexion filaire,проводное соединение
2,une connexion sans fil,беспроводное соединение
2,un connecteur,разъём
2,un dispositif,устройство
2,un écran,экран
2,une enceinte,акустическая система
2,un haut-parleur,динамик
2,une image,изображение
2,une imprimante,принтер
2,une latence d'entrée,задержка ввода
2,un lecteur de code-barres,сканер штрих-кодов
2,une manette de jeu,игровой контроллер
2,un microphone,микрофон
2,un moniteur,монитор
2,un moniteur à cristaux liquides,жидкокристаллический монитор
2,un moniteur à diode électroluminescente,светодиодный монитор
2,un moniteur à diode électroluminescente organique,OLED-монитор
2,un moniteur à projection,проекционный монитор
2,un moniteur à tube cathodique,электронно-лучевой монитор
2,un moniteur de jeu,игровой монитор
2,un moniteur professionnel,профессиональный монитор
2,un moniteur quatre K,4K-монитор
2,un moniteur tactile,сенсорный монитор
2,un moniteur ultra-large,широкоформатный монитор
2,un pavé tactile,трекпад
2,un périphérique d'entrée,устройство ввода
2,un périphérique de sortie,устройство вывода
2,un pixel,пиксель
2,un pointeur,указатель
2,un port,порт
2,une précision des couleurs,точность цветопередачи
2,un projecteur,проектор
2,une résolution,разрешение
2,un rétroéclairage,подсветка
2,un scanner,сканер
2,un son,звук
2,une souris,мышь
2,un stylet,стилус
2,une surface tactile,сенсорная панель
2,une tablette graphique,графический планшет
2,une touche,клавиша
2,afficher une image,отображать изображение
2,déplacer / sélectionner avec la souris,перемещать / выбирать мышью
2,de
2,dessiner / prendre des notes,рисовать / делать заметки
2,enregistrer / capturer un son, une image,записывать / захватывать звук, изображение
2,envoyer une commande,отправлять команду
2,être branché sur un port,быть подключённым к порту
2,glisser le doigt,проводить пальцем
2,importer / enregistrer / modifier / partager un fichier,импортировать / сохранять / изменять / делиться файлом
2,interagir avec une interface,взаимодействовать с интерфейсом
2,numériser / scanner un document,сканировать документ
2,produire une copie papier,печатать бумажную копию
2,projeter sur un écran,проецировать на экран
2,saisir des données / des informations,вводить данные / информацию
2,se connecter à Internet,подключаться к интернету
2,visionner une vidéo,просматривать видео
3,une alimentation électrique,электропитание
3,un bloc d'alimentation,блок питания
3,un boîtier,корпус
3,une capacité,ёмкость
3,une carte d'extension,плата расширения
3,une carte graphique,видеокарта
3,une carte mère,материнская плата
3,une carte son,звуковая карта
3,une carte vidéo,видеокарта
3,un composant,компонент
3,un disque dur,жёсткий диск
3,une fente d'extension,слот расширения
3,une fréquence,частота
3,un gigahertz,гигагерц
3,un gigaoctet,гигабайт
3,un matériel informatique,компьютерное оборудование
3,une mémoire morte,постоянная память
3,une mémoire non volatile,энергонезависимая память
3,une mémoire temporaire,временная память
3,une mémoire vive,оперативная память
3,une mémoire volatile,энергозависимая память
3,un octet,байт
3,une performance,производительность
3,une pièce détachée,запасная часть
3,un processeur,процессор
3,un programme,программа
3,un refroidissement,охлаждение
3,un signal numérique,цифровой сигнал
3,un signal visuel,визуальный сигнал
3,une surchauffe,перегрев
3,un système de refroidissement,система охлаждения
3,une taille,размер
3,un téraoctet,терабайт
3,une tour,системный блок
3,une unité centrale,центральный блок
3,un ventilateur,вентилятор
3,une vitesse d'horloge,тактовая частота
3,changer / renforcer un système,менять / усиливать систему
3,entraîner une surchauffe,вызывать перегрев
3,exécuter une instruction,выполнять инструкцию
3,fournir / convertir de l'énergie,подавать / преобразовывать энергию
3,gérer l'affichage / le son,управлять отображением / звуком
3,générer / évacuer de la chaleur,выделять / отводить тепло
3,lancer un programme,запускать программу
3,maintenir / refroidir la température,поддерживать / охлаждать температуру
3,mesurer en gigahertz,измерять в гигагерцах
3,produire / enregistrer / numériser un son,воспроизводить / записывать / оцифровывать звук
3,ralentir / planter (le système),замедлять / вызывать сбой (системы)
3,relier les composants ensemble,соединять компоненты между собой
3,s'exprimer en gigaoctets,измеряться в гигабайтах
4,une architecture du processeur,архитектура процессора
4,un bit,бит
4,un circuit électronique,электронная схема
4,une consommation d'énergie,потребление энергии
4,un cœur,ядро
4,un cycle d'instructions,цикл инструкций
4,un facteur d'influence,фактор влияния
4,une fréquence d'horloge,тактовая частота
4,un gigahertz,гигагерц
4,un hertz,герц
4,une horloge interne,внутренние часы
4,une instruction,инструкция
4,un jeu d'instructions,набор инструкций
4,une mémoire cache,кэш-память
4,un nombre binaire,двоичное число
4,une opération mathématique et logique,математическая и логическая операция
4,un processeur monocœur,одноядерный процессор
4,un processeur multicœur,многоядерный процессор
4,une puce,чип
4,un registre d'instruction,регистр инструкций
4,un signal électrique,электрический сигнал
4,une taille du cache,размер кэша
4,une tension,напряжение
4,un transistor,транзистор
4,une unité arithmétique et logique,арифметико-логическое устройство
4,une unité centrale de traitement,центральный процессор
4,une vitesse d'horloge,тактовая частота
4,améliorer les performances,улучшать производительность
4,augmenter le nombre de transistors / la fréquence,увеличивать количество транзисторов / частоту
4,effectuer des tâches en parallèle,выполнять задачи параллельно
4,être alimenté par une horloge,управляться тактовым генератором
4,exécuter une instruction / un programme,выполнять инструкцию / программу
4,mesurer la fréquence,измерять частоту
4,overclocker un processeur,разгонять процессор
4,récupérer / décoder / exécuter / stocker (les étapes),извлекать / декодировать / выполнять / сохранять (этапы)
4,réguler par une tension,регулировать напряжением
4,réduire la consommation,снижать потребление
4,stocker une instruction / des données,сохранять инструкцию / данные
4,suivre un cycle,следовать циклу
4,synchroniser les opérations,синхронизировать операции
4,traiter de grandes quantités de données,обрабатывать большие объёмы данных
5,une bande magnétique,магнитная лента
5,un bus,шина
5,une capacité de stockage,ёмкость хранилища
5,une carte mémoire,карта памяти
5,une cellule de mémoire flash,ячейка флэш-памяти
5,un champ magnétique,магнитное поле
5,une copie de sauvegarde,резервная копия
5,une couche réfléchissante,отражающий слой
5,une défragmentation,дефрагментация
5,un démarrage,загрузка
5,un disque à état solide,твердотельный накопитель
5,un disque Blu-ray,Blu-ray диск
5,un disque compact,компакт-диск
5,un disque dur,жёсткий диск
5,un disque dur externe,внешний жёсткий диск
5,un disque dur interne,внутренний жёсткий диск
5,un disque numérique polyvalent,DVD-диск
5,un disque optique,оптический диск
5,un dossier,папка
5,un espace de stockage,место для хранения
5,un faisceau laser,лазерный луч
5,un fichier,файл
5,une fragmentation,фрагментация
5,un laser,лазер
5,une mémoire flash,флэш-память
5,une mémoire interne,внутренняя память
5,une polarité magnétique,магнитная полярность
5,une puce de mémoire,чип памяти
5,une sauvegarde,резервное копирование
5,un serveur distant,удалённый сервер
5,un stockage,хранение данных
5,un stockage cloud,облачное хранилище
5,un stockage en ligne,онлайн-хранилище
5,un stockage magnétique,магнитное хранение
5,un stockage optique,оптическое хранение
5,un support de stockage,носитель данных
5,une technologie de stockage flash,технология флэш-хранения
5,une tête de lecture/écriture,головка чтения/записи
